文件标题,发布时间,行政区,行政区代码,城市,供应计划年度,供应总量_总量,供应总量_增量,供应总量_存量,商服用地,工矿仓储用地,住宅用地_总量,住宅用地_保障性住房用地,住宅用地_中小套型商品房用地,住宅用地_普通商品房用地,住宅用地_棚户区改造住房用地,交通运输用地,公共管理与公共服务用地,水域及水利设施用地,教育用地,工业用地,公益事业用地,特殊用地,其他用地,md5,url,crawling_time
北京市本级2015年度国有建设用地供应计划,2015年3月31日 19:52,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2015,4600公顷,2100公顷以内,2500公顷,400公顷,350公顷,1200公顷,,,,,1750公顷,800公顷,50公顷,,,,50公顷,,d0e02e5b8751480b518aabb2310a7f7d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=06cb8ae8-3a85-403c-83a2-641bce19f7cc&sitePath=,2020/7/6
北京市本级2014年度国有建设用地供应计划,2014年3月28日 16:58,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2014,5150公顷,2500公顷以内,2650公顷,550公顷,450公顷,1650公顷,,,,,1200公顷,1200公顷,50公顷,,,,50公顷,,8c53d3dd69bd18efedf0f6cbd8e96538,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=269a219b-1636-4a80-b18a-745da9776059&sitePath=,2020/7/6
北京市本级2013年度国有建设用地供应计划,2013年3月31日 13:10,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2013,,,,,,,,,,,,,,,,,,,1ee1ce2233538ad6b9b27c49b43a9b7a,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=69dd1ff2-5d11-4b75-baf9-e19cf7257f02&sitePath=,2020/7/6
北京市2011年度国有建设用地供应计划,2011年4月2日 18:13,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2011,6500公顷,3200公顷以内,3300公顷,550公顷,1000公顷,2550公顷,,,,,1000公顷,1200公顷,100公顷,,,,100公顷,,e7ecc3d17ccc0368d1ed423e905fd416,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=e4b5bafa-04ac-49a6-8d9c-405e56f00daa&sitePath=,2020/7/6
北京市2007-2010年土地供应中期计划,2009年3月30日 0:00,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2010,24200公顷以内,14000公顷以内,10200公顷,,4400公顷,6400公顷,,,,,,,,,,,,,29c21819b3cbecf63fb7df84051e3c14,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=64824f84-999a-4385-b8c6-ee0f6ee3910f&sitePath=,2020/7/6
北京市2009年度土地供应计划,2009年3月30日 0:00,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2009,5700公顷,3300公顷以内,2400公顷,200公顷,,1300公顷,,,,,,,,,,,,,24e3b5a80beb596b2e08c2b9595a109f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=e7a8ea90-ebec-4328-bc06-9a21fac87efc&sitePath=,2020/7/6
二○一一年津南区第一批工业项目（含部分公共设施用地）供应计划公示,2011年1月18日 16:10,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2011,,,,,,,,,,,,,,,,,,,2c5090d1fbb94eabcc4d37a9d058fd81,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=a84ffa80-2f00-4173-a61d-72363f7ae6ff&sitePath=,2020/7/6
2011年津南区第一批经营性房地产开发用地供应计划公告,2010年12月22日 9:27,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2011,,,,,,,,,,,,,,,,,,,5056e250feaec2f47415f654f2a5b450,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=67d9490d-c26b-4653-b4b3-09dd750949a9&sitePath=,2020/7/6
二〇一〇年津南区第四批出让计划公告,2010年9月25日 14:01,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2010,,,,,,,,,,,,,,,,,,,17295129cfa78893d34073b134807091,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=2b6d817a-8a26-467d-8558-6ae2d0c7c597&sitePath=,2020/7/6
二〇一〇年津南区第三批出让计划公告,2010年6月19日 8:51,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2010,,,,,,,,,,,,,,,,,,,ed97d43bffa9aeb2086949243d056360,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=1f9a0d81-07c7-4bcc-b82b-321ebdd8a243&sitePath=,2020/7/6
天津市中心城区2010年拟出让地块简介,2010年2月4日 17:17,天津市 > 天津市市辖区 > 和平区,和平区,天津市市辖区,2010,,,,74公顷,,,,,,,,,,,,,,,f45638d031391a99a1c73fe2f71ac591,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=5ade4e40-b2a8-4e8c-9bed-7498f54b716e&sitePath=,2020/7/6
二〇一〇年津南区第二批出让计划公告,2010年1月26日 8:44,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2010,,,,,,,,,,,,,,,,,,,b6f9b58c817a1d653b5c013f193321ce,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=7c10f74f-47db-4ae6-ac8e-0018e20a08e8&sitePath=,2020/7/6
二〇〇九年津南区第五批出让计划公告,2009年12月2日 13:17,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2009,,,,,,,,,,,,,,,,,,,994f9d4c02ce74714e9386317982134f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=f877b3b6-e03c-4fac-9f9d-7e9f6e0525c4C&sitePath=,2020/7/6
二〇〇九年津南区第四批出让计划公告,2009年9月25日 14:40,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2009,,,,,,,,,,,,,,,,,,,c93341fb878166819f44b258756b2bb3,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=b33b72c0-c8c7-454d-af76-8705c21e1be1&sitePath=,2020/7/6
二〇〇九年津南区第一批出让计划公告,2009年4月17日 0:00,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2009,,,,,,,,,,,,,,,,,,,3b3b33a5529d6754f7a324ff606af8be,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=7a4112b2-0f6b-465b-939a-0be98f030758&sitePath=,2020/7/6
二〇〇八年津南区第五批出让计划公告,2008年12月12日 9:04,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2008,,,,,,,,,,,,,,,,,,,1d35bc2cd4ebdcdbe917a0589739fe08,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3069181&sitePath=,2020/7/6
二〇〇八年津南区第四批出让计划公告,2008年9月18日 8:56,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2008,,,,,,,,,,,,,,,,,,,6b6471da5366e55148639ca95c325304,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3060160&sitePath=,2020/7/6
二〇〇八年津南区第三批出让计划公告,2008年7月10日 17:01,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2008,,,,,,,,,,,,,,,,,,,8a89d3c4692ed6fc8c74f7a9daf57b82,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3054355&sitePath=,2020/7/6
二〇〇八年津南区第二批出让计划公告,2008年5月15日 9:51,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2008,,,,,,,,,,,,,,,,,,,399a39d4da7f2c45ea8d641e3904cb66,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3048838&sitePath=,2020/7/6
